Age,Weight (kg),Height (m),BMI,Fat_Percentage,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Water_Intake (liters),Workout_Frequency (days/week),Gender,Workout_Type,Experience_Level,Calories_Burned,Cluster,PCA1,PCA2
59,65.6,1.51,28.8,44.0,164,141.0,75,0.67,1.32,3,Female,HIIT,Beginner,356.0,1,-0.5827643891975767,-0.525125009683115
39,61.2,1.63,23.2,21.7,182,152.0,70,0.66,0.96,6,Female,Strength,Advanced,299.0,1,-1.2872080130416412,-0.6701709079777313
44,64.8,1.62,24.6,19.8,173,162.0,76,0.53,1.08,2,Male,HIIT,Beginner,289.0,0,-1.432797357403135,0.9894983809305204
28,76.2,1.76,24.7,26.3,187,171.0,65,0.41,0.89,3,Male,HIIT,Intermediate,284.0,0,-1.9543804438720729,0.9245398072713504
29,91.9,1.72,31.2,32.5,205,168.0,72,0.92,1.24,1,Female,Cardio,Beginner,565.0,2,0.6773110468104924,2.5927885200168013
49,53.1,1.74,17.5,8.0,175,164.0,78,0.78,1.58,2,Male,HIIT,Beginner,313.0,0,-0.05396404565223736,1.215420255204392
37,56.1,1.63,21.2,34.1,185,171.0,73,0.52,0.99,2,Female,HIIT,Beginner,247.0,0,-1.8300070350363047,1.550375405231025
24,73.6,1.72,24.8,17.2,186,142.0,69,1.05,1.7,3,Male,Strength,Intermediate,488.0,2,1.499536295721488,-0.05026904842302698
53,70.9,1.85,20.7,18.7,179,153.0,86,0.59,1.24,3,Male,Cardio,Beginner,265.0,0,-1.0853853014522885,1.206508880820116
35,68.0,1.69,23.8,18.9,189,179.0,62,0.75,1.91,4,Female,HIIT,Advanced,577.0,2,1.2866888596241155,1.0929936691856912
46,60.7,1.58,24.3,34.9,181,166.0,74,1.12,1.75,7,Female,Cardio,Advanced,615.0,2,1.9944382390285176,-0.011566149430223556
32,59.2,1.63,22.3,30.6,187,162.0,67,1.23,1.74,3,Female,Cardio,Beginner,487.0,2,1.763282104040741,0.655930146230467
42,70.9,1.68,25.0,17.8,186,166.0,78,0.42,0.53,1,Female,Cardio,Beginner,189.0,0,-2.941862103366033,1.818961379608307
51,62.3,1.51,27.2,16.9,182,169.0,79,0.53,1.7,3,Female,HIIT,Beginner,241.0,0,-0.7571491592448739,1.5870618246278587
56,63.2,1.63,23.9,35.7,171,162.0,68,0.45,1.21,3,Female,HIIT,Intermediate,229.0,0,-1.7416760695896225,-0.044070284452212644
26,59.4,1.6,23.1,26.5,189,179.0,67,0.5,0.95,1,Female,HIIT,Beginner,206.0,0,-2.099246558534218,1.87974030955944
46,63.6,1.62,24.2,19.7,182,166.0,56,0.42,1.42,7,Female,HIIT,Advanced,274.0,1,-1.2267778284193782,-0.90225242641536
57,63.4,1.6,24.8,27.8,162,128.0,67,0.63,1.4,4,Female,Strength,Intermediate,195.0,1,-1.0902321275211513,-2.117268887144946
45,49.9,1.66,18.2,9.6,172,142.0,71,0.89,1.01,6,Male,Strength,Advanced,256.0,1,-0.7803711904288734,-1.5491558727778325
24,84.8,1.79,26.6,19.4,190,166.0,64,0.81,1.2,4,Male,Cardio,Intermediate,577.0,2,0.4903339844773664,0.6857474794159176
26,59.9,1.61,23.1,16.9,177,151.0,68,0.54,1.01,6,Female,Cardio,Advanced,280.0,1,-1.5550049559829595,-0.9609511891384038
26,80.3,1.65,29.6,46.8,195,176.0,66,0.6,0.99,3,Female,HIIT,Beginner,407.0,0,-1.0265881067813298,1.6794866971061846
22,82.8,1.75,27.0,38.3,185,144.0,69,0.61,1.01,5,Female,Strength,Intermediate,216.0,1,-1.5937682226944687,-0.6724342338564839
50,81.6,1.67,29.2,28.6,170,128.0,68,0.58,1.18,1,Male,Strength,Beginner,205.0,1,-1.3565163934769702,-0.7393789368280546
59,63.4,1.74,21.0,23.7,166,156.0,67,0.41,0.64,5,Female,HIIT,Advanced,202.0,0,-2.763476809361759,-1.1540398329872008
40,71.1,1.74,23.4,21.5,180,170.0,68,0.64,1.4,5,Male,HIIT,Intermediate,444.0,0,-0.12015761589596902,0.4145432502886372
43,60.6,1.74,20.1,17.1,176,135.0,61,0.81,1.55,7,Female,Strength,Advanced,347.0,1,0.16250101571237469,-2.222176296730732
51,62.1,1.68,22.1,29.1,172,139.0,70,0.85,1.4,2,Female,Strength,Beginner,176.0,1,-0.6960395133064247,-0.6089078966900631
35,80.3,1.65,29.6,24.2,183,156.0,62,1.04,1.68,7,Female,Cardio,Advanced,643.0,2,1.8853391916575712,-0.8894888778635807
38,80.5,1.63,30.5,33.9,178,152.0,63,0.88,1.31,4,Female,Cardio,Intermediate,509.0,1,0.44482173369155265,-0.5964237959854026
43,58.9,1.7,20.4,23.7,173,134.0,77,1.01,1.69,3,Male,Strength,Intermediate,308.0,1,0.6963286095217882,-0.6446915943934447
31,64.7,1.68,23.1,19.2,194,162.0,66,0.9,1.22,4,Male,Cardio,Advanced,482.0,2,0.4091289218406881,0.6168682237098233
20,69.5,1.68,24.5,40.5,179,140.0,58,0.82,1.33,5,Female,Strength,Intermediate,381.0,1,-0.05584714581880989,-1.5954908450893637
42,71.7,1.63,27.0,31.7,177,128.0,67,0.5,0.76,3,Female,Yoga,Intermediate,129.0,1,-2.5143371730936415,-1.3513123490186387
53,57.0,1.77,18.1,8.8,168,145.0,76,1.08,2.03,4,Male,Cardio,Intermediate,460.0,2,1.8591803268665668,-0.5439497439920701
21,48.1,1.6,18.7,15.4,196,168.0,70,0.67,1.06,3,Male,Cardio,Beginner,247.0,0,-1.216416404309211,1.5129799434479771
27,76.6,1.7,26.7,25.0,179,160.0,83,0.99,1.5,3,Male,Cardio,Beginner,538.0,2,1.138807381561101,1.3688106605939856
29,58.9,1.83,17.5,16.3,184,155.0,69,0.39,0.54,3,Male,Cardio,Beginner,185.0,0,-2.8345753561273974,0.4691352420782287
52,71.2,1.76,23.1,18.6,171,168.0,77,0.62,1.41,3,Male,HIIT,Beginner,437.0,0,-0.22345605781856964,1.1234865632798956
39,69.3,1.65,25.4,20.7,188,155.0,74,0.91,1.27,7,Male,Strength,Advanced,428.0,1,0.32140410499310673,-0.19507700722486238
40,72.1,1.65,26.4,32.1,182,178.0,74,0.52,0.93,5,Female,HIIT,Intermediate,360.0,0,-1.5383164221988557,0.9512806448781463
45,74.1,1.75,24.3,14.1,168,161.0,66,0.72,1.26,2,Male,HIIT,Beginner,442.0,0,-0.20283655351324753,0.24960026773616537
29,73.9,1.78,23.4,32.9,184,155.0,65,0.76,1.34,5,Male,Strength,Intermediate,372.0,1,-0.1358351659209635,-0.3153289026876475
48,88.5,1.78,28.0,22.8,181,168.0,78,0.61,1.01,4,Male,HIIT,Intermediate,551.0,0,-0.3867291470514826,1.215534911009546
19,77.0,1.72,25.9,25.8,186,168.0,66,0.73,1.04,4,Male,Cardio,Intermediate,474.0,0,-0.33263737943838406,0.6082557363119756
22,55.4,1.57,22.3,20.1,192,167.0,74,0.61,1.36,7,Female,Cardio,Advanced,347.0,0,-0.6176984958290714,0.49717865675066136
53,89.9,1.9,24.9,19.3,171,153.0,65,1.44,2.17,4,Male,Cardio,Advanced,778.5,2,4.015129835171133,-0.6435629315099676
46,78.2,1.73,26.3,35.7,173,162.0,72,0.49,1.34,3,Female,HIIT,Intermediate,359.0,0,-0.97428086359548,0.40400780567299577
25,74.7,1.54,31.3,16.1,205,162.0,66,0.88,1.25,1,Female,Strength,Beginner,328.0,0,-0.23437530221286526,1.8100518002177441
36,89.1,1.79,27.8,23.0,180,160.0,67,0.85,1.45,4,Male,Cardio,Intermediate,578.0,2,0.9306971200307428,0.21507613082066548
20,73.5,1.58,29.4,43.4,197,147.0,66,1.07,1.59,3,Female,Strength,Intermediate,425.0,2,1.070000593939409,0.26856410832103417
46,61.0,1.65,22.5,27.2,171,146.0,72,0.69,1.59,3,Female,Cardio,Intermediate,301.0,1,-0.3263965708387625,-0.4361622883449573
50,65.2,1.69,22.8,12.3,177,156.0,71,0.56,1.53,3,Male,HIIT,Intermediate,294.0,0,-0.6200159218942892,0.29556818765143145
29,74.9,1.77,23.9,17.0,194,152.0,74,0.9,1.65,5,Male,Strength,Intermediate,416.0,2,0.8482902337037845,0.5191294414213418
33,70.1,1.7,24.3,17.6,181,139.0,71,0.63,0.9,2,Female,Strength,Beginner,171.0,0,-1.8973383602193306,-0.11462236476745907
28,48.7,1.52,21.0,35.9,188,158.0,69,0.68,0.98,1,Female,Cardio,Beginner,266.0,0,-1.3695298908829785,1.1020142803298385
34,85.7,1.7,29.6,34.3,178,182.0,72,0.39,1.14,3,Female,HIIT,Intermediate,310.0,0,-1.729633507003782,1.3484098092648573
29,73.1,1.61,28.2,33.0,179,150.0,68,1.1,1.93,3,Female,Strength,Beginner,443.0,2,1.6227681266803229,-0.00311274473728141
28,61.3,1.61,23.6,26.0,195,161.0,81,1.12,2.09,2,Male,Cardio,Beginner,448.0,2,2.050413159197117,2.153241174041238
36,65.5,1.55,27.2,32.2,179,156.0,70,0.57,1.09,5,Female,Cardio,Intermediate,295.0,0,-1.3474541233337496,-0.29811512840147975
54,92.4,1.9,25.6,13.8,154,114.0,69,0.98,1.33,5,Male,Yoga,Intermediate,277.0,1,-0.016946417284564513,-3.2037999236705237
50,94.0,1.85,27.5,15.5,186,128.0,77,1.17,1.49,2,Male,Yoga,Beginner,352.0,2,0.9881160559466493,0.03558160336505751
30,56.9,1.7,19.7,43.8,181,171.0,70,0.65,1.38,4,Female,HIIT,Intermediate,312.0,0,-0.7345822965771102,0.5989875588561779
58,57.1,1.53,24.2,32.2,166,142.0,61,0.82,1.46,4,Female,Cardio,Intermediate,309.0,1,-0.20788808563020283,-1.7482821774577215
27,65.5,1.63,24.6,24.6,200,125.0,68,0.87,1.08,3,Female,Yoga,Beginner,153.0,0,-1.0157290292971888,-0.35326450043767693
57,90.8,1.83,27.2,24.1,168,153.0,74,0.62,1.1,5,Male,HIIT,Advanced,592.0,1,-0.05607768925872727,-0.34507676546265315
31,66.8,1.73,22.4,21.4,185,174.0,68,0.25,0.56,5,Male,HIIT,Advanced,202.0,0,-3.0956363023678164,0.5805592813474522
41,49.2,1.68,17.5,33.6,171,134.0,61,0.67,0.93,3,Female,Strength,Intermediate,147.0,1,-1.8777412328352234,-1.7855895403285025
26,60.3,1.71,20.7,18.4,178,149.0,73,0.46,0.54,4,Female,Cardio,Intermediate,207.0,0,-2.727472524974397,-0.34669287620283296
50,62.7,1.6,24.6,26.5,172,144.0,71,1.23,1.97,3,Female,Cardio,Beginner,438.0,2,1.9281559877876056,-0.45773477781790545
31,71.2,1.69,25.0,34.1,189,123.0,63,0.95,1.12,6,Female,Yoga,Advanced,256.0,1,-0.4230026038188783,-2.0584734866510663
55,94.6,1.74,31.2,23.3,172,140.0,64,1.24,1.94,4,Male,Strength,Intermediate,735.0,2,3.128536972255283,-1.0546326945114337
21,92.1,1.85,27.0,8.0,189,161.0,74,0.71,1.59,4,Male,Cardio,Advanced,493.0,2,0.5792597633187954,1.0283520887464004
39,84.5,1.83,25.1,25.4,181,160.0,59,0.59,1.44,3,Male,Cardio,Intermediate,408.0,0,-0.2575399221670593,0.040577761514916044
24,78.5,1.78,24.7,14.9,178,138.0,69,1.01,1.84,2,Male,Strength,Beginner,393.0,2,1.2572808652075325,-0.14830511983162542
56,101.4,1.87,29.0,27.8,173,150.0,75,0.8,1.2,1,Male,Cardio,Beginner,507.0,0,0.1696832265084142,0.7780523371993878
35,54.7,1.56,22.6,23.2,185,129.0,80,0.79,0.64,4,Female,Yoga,Intermediate,203.0,0,-1.7776488384399196,-0.6230149517188462
47,84.3,1.86,24.3,20.9,189,181.0,74,0.36,1.14,3,Male,HIIT,Intermediate,293.0,0,-1.6884609827066446,1.9821353785264695
55,66.0,1.79,20.7,23.5,170,156.0,69,0.57,1.57,1,Male,HIIT,Beginner,317.0,0,-0.490643055445553,0.5766604975544641
41,79.2,1.62,30.2,48.0,173,151.0,80,1.01,1.88,4,Female,Strength,Intermediate,475.0,2,1.4236371322174792,0.07739168435686666
20,73.0,1.67,26.3,32.1,193,171.0,60,0.47,1.19,4,Male,HIIT,Advanced,386.0,0,-0.9400246079955389,0.7755290988774726
27,64.0,1.7,22.1,12.5,187,156.0,72,1.04,1.02,5,Male,Strength,Intermediate,446.0,2,0.2490424885617768,0.05295354132062393
27,61.8,1.59,24.4,21.4,192,180.0,74,0.64,1.43,4,Female,HIIT,Intermediate,371.0,0,-0.4489622342035509,1.719373244932392
57,84.5,1.78,26.7,27.1,169,148.0,69,0.84,1.57,3,Male,Cardio,Beginner,508.0,2,0.8302331895170774,-0.20199336773887117
57,63.8,1.64,23.8,23.4,160,137.0,72,0.66,1.4,7,Female,Strength,Advanced,289.0,1,-0.6975642649603717,-2.2256533852183313
38,65.1,1.69,22.8,30.2,170,151.0,71,0.75,1.67,2,Female,Cardio,Beginner,269.0,0,-0.21680301152850137,0.03806018973696019
56,73.4,1.81,22.3,16.4,171,134.0,72,0.95,1.64,6,Male,Strength,Advanced,413.0,1,0.9101664875491522,-1.5774249392544188
28,61.8,1.54,26.1,30.8,198,168.0,60,1.51,2.15,4,Female,Cardio,Intermediate,695.0,2,3.781136705526127,0.6405449196414316
47,63.7,1.65,23.4,44.9,176,161.0,73,0.71,1.01,4,Female,Cardio,Intermediate,351.0,0,-1.0120167731910894,0.09289079749772663
34,56.5,1.56,23.1,37.7,190,157.0,72,0.77,1.48,3,Female,Cardio,Beginner,305.0,0,-0.24844465338145835,0.9515298634734055
28,56.4,1.69,19.7,32.9,195,167.0,81,0.76,1.01,3,Female,Strength,Beginner,257.0,0,-1.1865378922068572,1.8980670580869674
28,62.1,1.57,25.1,34.9,190,163.0,71,0.75,1.69,4,Female,Cardio,Intermediate,295.0,0,-0.03613177060478968,0.7227552425929101
36,60.9,1.59,24.1,41.0,177,124.0,78,0.91,0.66,5,Female,Yoga,Intermediate,215.0,1,-1.4577348660839846,-1.5633931766999463
32,60.0,1.59,23.6,18.1,187,144.0,74,1.05,1.68,4,Female,Strength,Intermediate,388.0,2,0.9898420488795512,-0.07027639630730897
27,79.7,1.77,25.6,29.5,197,152.0,67,1.53,2.14,5,Male,Strength,Advanced,778.5,2,4.301051164713129,0.2693764521026381
32,75.2,1.65,27.6,24.9,189,140.0,73,1.22,1.67,7,Female,Strength,Advanced,620.0,2,2.2536048475181145,-0.7753218270041115
23,75.6,1.66,27.5,27.7,197,165.0,73,1.08,1.52,7,Female,Cardio,Advanced,643.0,2,1.7486650252078837,0.6046892735546279
59,71.4,1.63,26.9,35.1,164,118.0,77,1.37,0.95,2,Female,Yoga,Beginner,298.0,1,0.2146743629362474,-1.6924623413836275
34,68.3,1.69,23.9,8.0,183,135.0,57,0.6,0.89,4,Male,Strength,Intermediate,210.0,1,-1.677189762294506,-1.482560791259121
22,63.7,1.68,22.6,18.2,191,182.0,62,0.56,1.07,6,Male,HIIT,Advanced,455.0,0,-0.7197660904924008,0.7470522979227746
42,60.0,1.7,20.8,13.2,178,153.0,79,0.54,1.33,3,Male,Cardio,Intermediate,247.0,0,-1.1301025866374124,0.5898001631596697
55,70.3,1.77,22.5,24.7,178,137.0,67,0.99,1.26,2,Male,Strength,Beginner,409.0,1,0.3986369807287303,-0.3869069095876246
33,76.0,1.75,24.9,27.3,168,134.0,73,1.14,1.74,7,Male,Strength,Advanced,575.0,2,2.0540696595942904,-1.8167146295102383
54,68.0,1.77,21.8,22.0,171,123.0,75,1.19,1.0,5,Male,Yoga,Intermediate,301.0,1,0.05770412221875617,-1.9858640540266517
44,80.2,1.79,25.2,24.0,177,140.0,66,0.94,1.53,3,Male,Strength,Intermediate,431.0,1,0.7638104530301213,-0.7031249172084678
49,61.6,1.71,21.1,28.9,164,124.0,56,0.94,0.84,6,Female,Strength,Advanced,316.0,1,-0.7712587437056339,-3.4860250720204924
30,63.5,1.85,18.5,19.1,192,162.0,67,1.06,2.25,3,Male,Cardio,Intermediate,519.0,2,2.4192338460565184,0.9936533077218859
19,73.1,1.62,27.9,23.0,189,163.0,83,1.39,2.11,5,Female,Cardio,Intermediate,778.5,2,3.733109769273939,1.273487782720023
32,68.0,1.72,23.0,27.1,183,137.0,66,0.71,0.45,3,Male,Strength,Intermediate,312.0,1,-1.7615212867603527,-0.7462487169600527
57,68.8,1.78,21.6,31.1,182,141.0,66,0.96,1.25,4,Male,Strength,Intermediate,357.0,1,0.13679072313645527,-0.8255457817202763
51,54.3,1.62,20.6,8.0,180,156.0,68,0.88,1.26,1,Male,Cardio,Beginner,311.0,0,-0.27411870181467946,0.6651521386845507
51,66.5,1.59,26.4,33.9,177,169.0,75,0.44,0.86,4,Female,HIIT,Advanced,280.0,0,-2.0930248059651575,0.5899569571782742
55,99.3,1.82,30.0,21.5,173,116.0,66,1.02,1.09,5,Male,Yoga,Advanced,384.0,1,0.20002859116769817,-2.469093063302679
34,53.7,1.52,23.3,41.8,183,159.0,71,1.2,1.74,1,Female,Cardio,Beginner,412.0,2,1.396353362517805,0.9793128603168002
31,69.8,1.71,24.0,23.4,200,155.0,83,1.05,1.32,3,Female,Strength,Beginner,434.0,2,0.625801703384354,1.827234690103297
57,99.4,1.86,28.9,23.5,174,145.0,71,0.95,1.29,5,Male,Cardio,Advanced,764.0,2,1.633832552735946,-0.5576649162310041
42,50.8,1.68,17.9,27.6,174,162.0,69,0.75,1.7,3,Female,HIIT,Beginner,330.0,0,0.03727479933477862,0.36245949657000626
30,101.2,1.77,32.3,21.4,177,157.0,63,0.81,1.7,5,Male,Cardio,Intermediate,632.0,2,1.4337475429956419,-0.3343737568281089
29,113.9,1.83,34.1,23.4,191,181.0,78,0.59,1.2,3,Male,HIIT,Intermediate,706.0,0,0.41870142298492197,2.5867597666224387
55,51.6,1.72,17.5,8.6,170,158.0,71,0.54,1.17,5,Male,HIIT,Intermediate,240.0,0,-1.436652558317279,-0.5046934571279966
20,80.1,1.81,24.4,18.8,183,179.0,65,0.56,0.93,1,Male,HIIT,Beginner,417.0,0,-1.142825385095994,1.7665289169684457
20,54.5,1.57,22.1,22.2,197,162.0,60,1.13,1.83,5,Female,Cardio,Intermediate,473.0,2,1.6976356603908853,0.11000068489756237
49,65.5,1.66,23.8,34.8,172,127.0,64,0.72,1.0,3,Female,Yoga,Intermediate,189.0,1,-1.4791994348933566,-1.814100459669321
18,65.4,1.68,23.2,34.2,199,164.0,63,0.89,1.44,3,Female,Cardio,Intermediate,458.0,2,0.5233136067984206,0.9602302778972698
25,87.8,1.77,27.9,19.3,193,157.0,62,1.12,1.9,1,Male,Cardio,Beginner,699.0,2,2.7047002763122623,1.3231637218589196
60,66.5,1.65,24.4,17.2,162,128.0,64,0.81,1.33,5,Female,Strength,Intermediate,253.0,1,-0.5898970537785622,-2.587964139767555
36,64.4,1.74,21.3,17.8,187,145.0,65,1.28,1.53,5,Male,Strength,Intermediate,483.0,2,1.72317910471806,-0.7698022637808234
49,66.6,1.66,24.1,27.1,171,157.0,72,0.28,1.07,2,Male,HIIT,Beginner,148.0,0,-2.483517530314477,0.5170190235619359
38,75.0,1.67,26.8,21.9,178,182.0,85,0.65,1.3,3,Male,HIIT,Beginner,503.0,0,-0.11525976781262698,2.4230408693087644
21,55.8,1.66,20.3,28.7,189,163.0,73,0.54,1.46,2,Female,Cardio,Beginner,180.0,0,-1.2666445911719602,1.4371569492998164
25,47.9,1.61,18.5,31.1,198,136.0,73,1.12,1.37,3,Female,Yoga,Beginner,134.0,0,-0.17516712735755055,0.11038121594520994
50,102.3,1.78,32.4,28.0,171,147.0,77,1.08,2.23,1,Male,Cardio,Beginner,764.0,2,3.276771297653661,0.9846936735640194
22,54.9,1.57,22.4,24.1,202,153.0,66,0.95,1.71,7,Female,Strength,Advanced,375.0,2,0.8563314013492533,-0.17148737647041604
43,60.4,1.58,24.3,21.3,191,168.0,73,0.86,1.52,5,Female,Cardio,Intermediate,403.0,2,0.32680282266563254,0.8424741105111967
32,64.8,1.67,23.3,24.3,180,114.0,69,1.05,1.03,4,Female,Yoga,Advanced,203.0,1,-0.5715568439731464,-2.1557548719223028
33,76.2,1.68,26.9,27.7,164,136.0,69,0.41,0.7,7,Female,Cardio,Advanced,227.0,1,-2.493334206337643,-2.2906815126943942
58,77.8,1.57,31.5,30.6,175,154.0,87,0.84,1.57,3,Female,Cardio,Beginner,415.0,2,0.36423993855246695,1.1009763801709262
44,75.3,1.67,27.0,26.1,175,148.0,76,0.7,1.18,3,Female,Strength,Intermediate,308.0,0,-0.8947109913314218,-0.05149780464589235
44,48.6,1.6,19.0,22.2,171,112.0,61,1.14,1.13,4,Female,Yoga,Advanced,173.0,1,-0.36765985614451885,-3.141254843921111
33,63.7,1.81,19.5,16.9,181,127.0,73,0.93,1.31,5,Male,Yoga,Intermediate,234.0,1,-0.2348165602282142,-1.3316146136158329
34,68.5,1.72,23.3,41.0,181,170.0,66,0.53,1.18,5,Female,HIIT,Intermediate,322.0,0,-1.2406338079272763,0.1700455382122382
47,70.5,1.72,23.8,13.4,184,133.0,73,1.05,1.42,4,Male,Yoga,Intermediate,349.0,1,0.5931890666030399,-0.6885923521190592
19,51.4,1.68,18.3,25.8,195,120.0,66,1.26,1.14,1,Female,Yoga,Beginner,203.0,1,0.07054563372250933,-0.6313286632160128
28,80.7,1.7,27.9,20.4,197,156.0,64,1.03,1.76,3,Male,Strength,Intermediate,536.0,2,1.7268160196040614,0.7577905085331509
43,59.9,1.7,20.7,9.2,182,154.0,70,0.88,1.61,7,Male,Cardio,Advanced,421.0,1,0.7266486395105223,-0.630052697924116
44,92.4,1.74,30.5,18.1,175,170.0,74,0.36,1.2,6,Male,HIIT,Advanced,374.0,0,-1.28777349866072,0.34350699103085763
21,100.4,1.78,31.7,31.2,190,175.0,77,0.77,1.78,3,Male,HIIT,Beginner,706.0,2,1.7144793205111735,2.478196870319396
